Time,Repetition,Trial,HRTF,HRTFidx,azi_target,ele_target,azi_response,ele_response,attenuation_dB,correctionTrial,
12/01/2024 13:05:53,-1,61,TRAINING - KEMAR_Knowl_EarSim_SmallEars_Windowed_NoITD_48kHz.3dti-hrtf.bytes,0,180,0,179.7099,43.33057,0,1,
12/01/2024 13:05:58,-1,61,TRAINING - KEMAR_Knowl_EarSim_SmallEars_Windowed_NoITD_48kHz.3dti-hrtf.bytes,0,180,0,-0.5990517,-29.49589,0,2,
12/01/2024 13:06:03,-1,62,TRAINING - KEMAR_Knowl_EarSim_SmallEars_Windowed_NoITD_48kHz.3dti-hrtf.bytes,0,198,-56,-161.3184,-52.89769,0,0,
12/01/2024 13:06:07,-1,63,TRAINING - KEMAR_Knowl_EarSim_SmallEars_Windowed_NoITD_48kHz.3dti-hrtf.bytes,0,288,0,-70.95399,-0.360452,0,0,
12/01/2024 13:06:12,-1,64,TRAINING - KEMAR_Knowl_EarSim_SmallEars_Windowed_NoITD_48kHz.3dti-hrtf.bytes,0,108,0,103.8401,0.07401875,0,0,
12/01/2024 13:06:16,-1,65,TRAINING - KEMAR_Knowl_EarSim_SmallEars_Windowed_NoITD_48kHz.3dti-hrtf.bytes,0,0,0,0.2229358,-0.5319225,0,0,
12/01/2024 13:06:19,-1,66,TRAINING - KEMAR_Knowl_EarSim_SmallEars_Windowed_NoITD_48kHz.3dti-hrtf.bytes,0,234,-32,-122.9806,-25.8837,0,0,
12/01/2024 13:06:23,-1,66,TRAINING - KEMAR_Knowl_EarSim_SmallEars_Windowed_NoITD_48kHz.3dti-hrtf.bytes,0,234,-32,-134.3061,-45.39236,0,1,
12/01/2024 13:06:27,-1,66,TRAINING - KEMAR_Knowl_EarSim_SmallEars_Windowed_NoITD_48kHz.3dti-hrtf.bytes,0,234,-32,-129.9248,-38.83707,0,2,
12/01/2024 13:06:31,-1,67,TRAINING - KEMAR_Knowl_EarSim_SmallEars_Windowed_NoITD_48kHz.3dti-hrtf.bytes,0,90,-32,80.85405,-33.17847,0,0,
12/01/2024 13:06:35,-1,67,TRAINING - KEMAR_Knowl_EarSim_SmallEars_Windowed_NoITD_48kHz.3dti-hrtf.bytes,0,90,-32,100.1689,-34.26067,0,1,
12/01/2024 13:06:39,-1,67,TRAINING - KEMAR_Knowl_EarSim_SmallEars_Windowed_NoITD_48kHz.3dti-hrtf.bytes,0,90,-32,88.96187,-33.83823,0,2,
12/01/2024 13:06:42,-1,68,TRAINING - KEMAR_Knowl_EarSim_SmallEars_Windowed_NoITD_48kHz.3dti-hrtf.bytes,0,342,-56,-15.31203,-48.74331,0,0,
12/01/2024 13:06:46,-1,68,TRAINING - KEMAR_Knowl_EarSim_SmallEars_Windowed_NoITD_48kHz.3dti-hrtf.bytes,0,342,-56,-20.62826,-59.80878,0,1,
12/01/2024 13:06:50,-1,69,TRAINING - KEMAR_Knowl_EarSim_SmallEars_Windowed_NoITD_48kHz.3dti-hrtf.bytes,0,162,-32,169.3743,-20.31225,0,0,
12/01/2024 13:06:55,-1,69,TRAINING - KEMAR_Knowl_EarSim_SmallEars_Windowed_NoITD_48kHz.3dti-hrtf.bytes,0,162,-32,157.8133,-42.22909,0,1,
12/01/2024 13:07:00,-1,69,TRAINING - KEMAR_Knowl_EarSim_SmallEars_Windowed_NoITD_48kHz.3dti-hrtf.bytes,0,162,-32,159.5808,-36.36333,0,2,
12/01/2024 13:07:03,-1,70,TRAINING - KEMAR_Knowl_EarSim_SmallEars_Windowed_NoITD_48kHz.3dti-hrtf.bytes,0,18,-32,22.32925,-24.67031,0,0,
12/01/2024 13:07:06,-1,70,TRAINING - KEMAR_Knowl_EarSim_SmallEars_Windowed_NoITD_48kHz.3dti-hrtf.bytes,0,18,-32,16.93089,-35.11125,0,1,
12/01/2024 13:07:10,-1,71,TRAINING - KEMAR_Knowl_EarSim_SmallEars_Windowed_NoITD_48kHz.3dti-hrtf.bytes,0,144,0,141.6173,-0.7367479,0,0,
12/01/2024 13:07:14,-1,72,TRAINING - KEMAR_Knowl_EarSim_SmallEars_Windowed_NoITD_48kHz.3dti-hrtf.bytes,0,90,32,84.55334,28.03488,0,0,
12/01/2024 13:07:18,-1,72,TRAINING - KEMAR_Knowl_EarSim_SmallEars_Windowed_NoITD_48kHz.3dti-hrtf.bytes,0,90,32,98.32591,34.52587,0,1,
12/01/2024 13:07:23,-1,72,TRAINING - KEMAR_Knowl_EarSim_SmallEars_Windowed_NoITD_48kHz.3dti-hrtf.bytes,0,90,32,90.54565,31.2612,0,2,
12/01/2024 13:07:27,-1,73,TRAINING - KEMAR_Knowl_EarSim_SmallEars_Windowed_NoITD_48kHz.3dti-hrtf.bytes,0,54,56,49.1608,51.6153,0,0,
12/01/2024 13:07:31,-1,73,TRAINING - KEMAR_Knowl_EarSim_SmallEars_Windowed_NoITD_48kHz.3dti-hrtf.bytes,0,54,56,63.83567,60.02534,0,1,
